model,UPC,short_name,long_name,brand,shipping_type,quantity,list,Shipping Cost
1660.628.002,012611476754,American Standard 1660.628.002,American Standard 1660.628.002 Chrome Traditional 5-Function Complete Kit with Slidebar,American Standard,Ground,0,266,10
1660.628.295,012611476778,American Standard 1660.628.295,American Standard 1660.628.295 Satin Traditional 5-Function 2.5 GPM Complete Slide Bar Handshower Kit,American Standard,Ground,0,372,10
1660.635.002,012611476587,American Standard 1660.635.002,American Standard 1660.635.002 Chrome Modern 5-Function Showerhead,American Standard,Ground,0,77,8
1660.635.295,012611476594,American Standard 1660.635.295,American Standard 1660.635.295 Satin Modern 5-Function Showerhead,American Standard,Ground,0,116,8
1660.637.002,012611476709,American Standard 1660.637.002,American Standard 1660.637.002 Chrome Modern 5-Function 2.5 GPM Handshower,American Standard,Ground,0,88,8
1660.637.295,012611476716,American Standard 1660.637.295,American Standard 1660.637.295 Satin Modern 5-Function Handshower,American Standard,Ground,0,123,8
1660.638.002,012611476808,American Standard 1660.638.002,American Standard 1660.638.002 Chrome Modern 5-Function Complete Kit with Slidebar,American Standard,Ground,0,266,10
1660.638.295,012611476815,American Standard 1660.638.295,American Standard 1660.638.295 Satin Modern 5-Function Complete Kit with Slidebar,American Standard,Ground,0,372,10
1660.641.002,012611445514,American Standard 1660.641.002,American Standard 1660.641.002 Chrome Modern Water-Saving Handshower,American Standard,Ground,0,69,8
1660.641.295,012611445538,American Standard 1660.641.295,American Standard 1660.641.295 Satin Modern Water-Saving Handshower,American Standard,Ground,0,104,8
1660.643.002,012611445644,American Standard 1660.643.002,American Standard 1660.643.002 Chrome Modern 3-Function Water-Saving Handshower,American Standard,Ground,0,90,8
1660.643.295,012611445668,American Standard 1660.643.295,American Standard 1660.643.295 Satin Modern 3-Function Water-Saving Handshower,American Standard,Ground,0,135,8
1660.650.002,012611414770,American Standard 1660.650.002,American Standard 1660.650.002 Chrome 3-Function Rain Showerhead,American Standard,Ground,0,88,8
1660.650.295,012611414817,American Standard 1660.650.295,American Standard 1660.650.295 Satin 3-Function Rain Showerhead,American Standard,Ground,0,132,8
1660.652.002,012611500541,American Standard 1660.652.002,American Standard 1660.652.002 Chrome 3-Function Rain Showerhead Water-Saving,American Standard,Ground,0,88,8
1660.652.295,012611500558,American Standard 1660.652.295,American Standard 1660.652.295 Satin 3-Function Rain Showerhead Water-Saving,American Standard,Ground,0,132,8
1660.660.002,012611414510,American Standard 1660.660.002,American Standard 1660.660.002 Chrome 6-in Rain Showerhead,American Standard,Ground,0,100,8
1660.660.224,012611502279,American Standard 1660.660.224,American Standard 1660.660.224 Oil Rubbed Bronze 6-in Rain Showerhead,American Standard,Ground,0,149,8
1660.660.295,012611414565,American Standard 1660.660.295,American Standard 1660.660.295 Satin 6-in Rain Showerhead,American Standard,Ground,0,149,8
1660.680.002,012611414572,American Standard 1660.680.002,American Standard 1660.680.002 Chrome 8-in Rain Showerhead,American Standard,Ground,0,137,8
1660.680.224,012611502286,American Standard 1660.680.224,American Standard 1660.680.224 Oil Rubbed Bronze 8-in Rain Showerhead,American Standard,Ground,0,205,8
1660.680.295,012611414619,American Standard 1660.680.295,American Standard 1660.680.295 Satin 8-in Rain Showerhead,American Standard,Ground,0,205,8
